ID,Name,Filename,Prompt
"idli_plain","Idli (Plain)","idli_plain.png","Professional food photography of Idli (Plain), authentic and accurate, gourmet plating on elegant crockery, top-quality restaurant presentation, vivid colors, dark moody background."
"upma","Upma (Sooji)","upma.png","Professional food photography of Upma (Sooji), authentic and accurate, gourmet plating on elegant crockery, top-quality restaurant presentation, vivid colors, dark moody background."
"poha","Poha (Flattened Rice)","poha.png","Professional food photography of Poha (Flattened Rice), authentic and accurate, gourmet plating on elegant crockery, top-quality restaurant presentation, vivid colors, dark moody background."
"aloo_paratha","Aloo Paratha","aloo_paratha.png","Authentic Indian Aloo Paratha, golden-brown stuffed potato flatbread, crispy edges with ghee glistening on top, served with white butter, green chutney and sliced onions on a rustic wooden plate, professional food photography, warm lighting."
"puri","Puri (Deep Fried)","puri.png","Crispy golden Indian Puri, deep-fried puffed wheat bread stacked beside a bowl of spicy potato sabzi, authentic Indian street food platter, professional food photography, dramatic warm lighting."
"uttapam","Uttapam","uttapam.png","South Indian Uttapam, thick soft rice pancake topped with colorful diced onions, tomatoes, green chilies and cilantro, golden-brown base, served with sambar and coconut chutney, professional food photography."
"chole_bhature","Chole Bhature","chole_bhature.png","Authentic North Indian Chole Bhature, a large fluffy deep-fried bhatura beside a bowl of rich dark spiced chickpea curry garnished with sliced onions, green chili and lemon, professional food photography."
"pesarattu","Pesarattu (Moong Dosa)","pesarattu.png","Andhra style Pesarattu, a thin crispy green moong dal crepe with ginger, served with upma filling and ginger chutney on banana leaf, authentic South Indian breakfast, professional food photography."
"white_rice_cooked","White Rice (Cooked)","white_rice_cooked.png","Perfect bowl of steamed fluffy white rice, individually separated long grains, served in a clean white ceramic bowl, soft overhead lighting, professional food photography, minimalist aesthetic."
"white_rice_raw","White Rice (Raw / Uncooked)","white_rice_raw.png","Raw uncooked white rice grains spilling from a small cloth sack onto a wooden surface, clean and fresh, macro photography showing the texture of dry rice grains, professional food photography."
"brown_rice_cooked","Brown Rice (Cooked)","brown_rice_cooked.png","Healthy cooked Brown Rice, nutty whole grain rice with a slightly chewy texture in a wooden bowl, garnished with sesame seeds, professional food photography, healthy wellness aesthetic."
"brown_rice_raw","Brown Rice (Raw / Uncooked)","brown_rice_raw.png","Dry uncooked Brown Rice grains in a small glass bowl, earthy tan color, macro texture photography, professional food photography."
"basmati_rice_cooked","Basmati Rice (Cooked)","basmati_rice_cooked.png","Perfectly cooked Basmati rice, long elegant aromatic grains perfectly separated, served in a silver bowl garnished with saffron strands, professional food photography, premium aesthetic."
"basmati_rice_raw","Basmati Rice (Raw / Uncooked)","basmati_rice_raw.png","Dry aged Basmati rice, long slender white grains on a dark background, macro shot showing fine texture, professional food photography."
"sona_masoori_rice_cooked","Sona Masoori Rice (Cooked)","sona_masoori_rice_cooked.png","Steamed Sona Masoori rice, slightly sticky short-grain South Indian rice variety in a traditional bowl, soft white color, served as a plate meal base, professional food photography."
"sona_masoori_rice_raw","Sona Masoori Rice (Raw / Uncooked)","sona_masoori_rice_raw.png","Dry uncooked Sona Masoori rice grains, slightly opaque white short-grain variety in a small bowl, macro texture shot, professional food photography."
"red_rice_cooked","Red Rice (Cooked)","red_rice_cooked.png","Nutritious Red Rice cooked, deep reddish-brown whole grain rice in a ceramic bowl, rustic healthy aesthetic, professional food photography with natural lighting."
"red_rice_raw","Red Rice (Raw / Uncooked)","red_rice_raw.png","Raw red rice grains, deep reddish whole grain rice variety arranged on a dark wooden surface, macro photography, professional food photography."
"jeera_rice","Jeera Rice","jeera_rice.png","Aromatic Jeera Rice, fluffy Basmati rice cooked with whole cumin seeds, ghee and green cardamom, garnished with fried cashews, served in a copper bowl, professional food photography."
"chicken_biryani","Chicken Biryani","chicken_biryani.png","Professional food photography of Chicken Biryani, authentic and accurate, gourmet plating on elegant crockery, top-quality restaurant presentation, vivid colors, dark moody background."
"veg_biryani","Veg Biryani","veg_biryani.png","Fragrant Vegetable Biryani, layered basmati rice with mixed vegetables, whole spices, saffron, fried onions and mint, served in a handi with raita on the side, professional food photography."
"veg_pulao","Veg Pulao","veg_pulao.png","Professional food photography of Veg Pulao, authentic and accurate, gourmet plating on elegant crockery, top-quality restaurant presentation, vivid colors, dark moody background."
